name,code,type,board,district,state,address,contact_email,contact_phone
St Joseph's Convent Nagpur,MH-NG-002,SCHOOL,ICSE,Nagpur,Maharashtra,"Wardha Road, Nagpur - 440001, Maharashtra",admin@stjosephsconventnagpur.meritquest.test,+91 9810026086
Bishop Cotton Boys School,KA-BU-001,SCHOOL,ICSE,Bengaluru Urban,Karnataka,"St Mark's Road, Bengaluru - 560004, Karnataka",admin@bishopcottonboysschool.meritquest.test,+91 8185675980
Kendriya Vidyalaya Bengaluru,KA-BU-002,SCHOOL,CBSE,Bengaluru Urban,Karnataka,"ASC Centre, Bengaluru - 560004, Karnataka",admin@kendriyavidyalayabengalur.meritquest.test,+91 9508157429
National Public School Rajajinagar,KA-BU-003,SCHOOL,CBSE,Bengaluru Urban,Karnataka,"Rajajinagar, Bengaluru - 560011, Karnataka",admin@nationalpublicschoolrajaj.meritquest.test,+91 8782560971
Delhi Public School Bengaluru East,KA-BU-004,SCHOOL,CBSE,Bengaluru Urban,Karnataka,"Sulikunte, Sarjapur Road - 560011, Karnataka",admin@delhipublicschoolbengalur.meritquest.test,+91 9497478786
Maharani's Science College School,KA-MY-001,SCHOOL,STATE_BOARD,Mysuru,Karnataka,"Vani Vilas Road, Mysuru - 570010, Karnataka",admin@maharanissciencecollegesc.meritquest.test,+91 9819595113
DPS Mysore,KA-MY-002,SCHOOL,CBSE,Mysuru,Karnataka,"Bogadi Road, Mysuru - 570010, Karnataka",admin@dpsmysore.meritquest.test,+91 7833953718
KLE School Hubballi,KA-DW-001,SCHOOL,STATE_BOARD,Dharwad,Karnataka,"Vidyanagar, Hubballi - 580001, Karnataka",admin@kleschoolhubballi.meritquest.test,+91 7781802744
Jawahar Navodaya Vidyalaya Dharwad,KA-DW-002,SCHOOL,CBSE,Dharwad,Karnataka,"Alnavar Road, Dharwad - 580020, Karnataka",admin@jawaharnavodayavidyalayad.meritquest.test,+91 7882893941
Don Bosco Matriculation Higher Secondary,TN-CH-001,SCHOOL,STATE_BOARD,Chennai,Tamil Nadu,"17 Broadway, Chennai - 600010, Tamil Nadu",admin@donboscomatriculationhigh.meritquest.test,+91 9596348124
DAV Boys Senior Secondary School Chennai,TN-CH-002,SCHOOL,CBSE,Chennai,Tamil Nadu,"Gopalapuram, Chennai - 600020, Tamil Nadu",admin@davboysseniorsecondarysch.meritquest.test,+91 8787194506
Padma Seshadri Bala Bhavan,TN-CH-003,SCHOOL,CBSE,Chennai,Tamil Nadu,"T. Nagar, Chennai - 600028, Tamil Nadu",admin@padmaseshadribalabhavan.meritquest.test,+91 9835098955
Chettinad Vidyashram,TN-CH-004,SCHOOL,CBSE,Chennai,Tamil Nadu,"Rajah Annamalai Puram, Chennai - 600017, Tamil Nadu",admin@chettinadvidyashram.meritquest.test,+91 9345938494
PSG Public School Coimbatore,TN-CB-001,SCHOOL,CBSE,Coimbatore,Tamil Nadu,"Peelamedu, Coimbatore - 641001, Tamil Nadu",admin@psgpublicschoolcoimbatore.meritquest.test,+91 8530747414
Stanes Anglo-Indian Higher Secondary,TN-CB-002,SCHOOL,ICSE,Coimbatore,Tamil Nadu,"Race Course Road, Coimbatore - 641011, Tamil Nadu",admin@stanesanglo-indianhighers.meritquest.test,+91 9326541099
TVS Academy Madurai,TN-MD-001,SCHOOL,CBSE,Madurai,Tamil Nadu,"Thirumangalam Road, Madurai - 625009, Tamil Nadu",admin@tvsacademymadurai.meritquest.test,+91 9803771909
Thiagarajar Model Higher Secondary,TN-MD-002,SCHOOL,STATE_BOARD,Madurai,Tamil Nadu,"Teppakulam, Madurai - 625014, Tamil Nadu",admin@thiagarajarmodelhighersec.meritquest.test,+91 8790256940
La Martiniere College Lucknow,UP-LK-001,SCHOOL,ICSE,Lucknow,Uttar Pradesh,"1 La Martiniere Road, Lucknow - 226012, Uttar Pradesh",admin@lamartinierecollegeluckno.meritquest.test,+91 9384412919
City Montessori School Gomti Nagar,UP-LK-002,SCHOOL,CBSE,Lucknow,Uttar Pradesh,"Gomti Nagar, Lucknow - 226003, Uttar Pradesh",admin@citymontessorischoolgomti.meritquest.test,+91 9899925830
Lucknow Public School,UP-LK-003,SCHOOL,CBSE,Lucknow,Uttar Pradesh,"Sector H, LDA Colony, Lucknow - 226018, Uttar Pradesh",admin@lucknowpublicschool.meritquest.test,+91 7382116655
DPS Noida,UP-NO-001,SCHOOL,CBSE,Noida,Uttar Pradesh,"Sector 30, Noida - 201306, Uttar Pradesh",admin@dpsnoida.meritquest.test,+91 7528853029
Amity International School Noida,UP-NO-002,SCHOOL,CBSE,Noida,Uttar Pradesh,"Sector 44, Noida - 201304, Uttar Pradesh",admin@amityinternationalschooln.meritquest.test,+91 9248532577
Sunbeam School Varanasi,UP-VN-001,SCHOOL,CBSE,Varanasi,Uttar Pradesh,"Bhagwanpur, Varanasi - 221010, Uttar Pradesh",admin@sunbeamschoolvaranasi.meritquest.test,+91 9911514914
DPS Varanasi,UP-VN-002,SCHOOL,CBSE,Varanasi,Uttar Pradesh,"Babatpur, Varanasi - 221001, Uttar Pradesh",admin@dpsvaranasi.meritquest.test,+91 9264112119
St Peter's College Agra,UP-AG-001,SCHOOL,ICSE,Agra,Uttar Pradesh,"Wazirpura Road, Agra - 282002, Uttar Pradesh",admin@stpeterscollegeagra.meritquest.test,+91 7553290810
Delhi Public School Agra,UP-AG-002,SCHOOL,CBSE,Agra,Uttar Pradesh,"NH-2 Bypass, Agra - 282001, Uttar Pradesh",admin@delhipublicschoolagra.meritquest.test,+91 8509760584
